Nombre común |Nombre inglés |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo|Nacional/Importado|Objetivo |Incidental |Deportiva |Fomento |Cultivada |Cartel|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación|Pacífico zona 1|Pacífico zona 2|Pacífico zona 3|Golfo Mex y Caribe zona 1|Golfo Mex y Caribe zona 2|Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Datos|||firma
Peto|Wahoo|Acanthocybium solandri|Actinopterygii|Perciformes|Scombridae|1|1|0|0|Escama|Nacional|1|0|0|0|0|2|170-250|No selectiva|Palangre para atún.||||||Especie marina de hábitos pelágicos. Vive en la columna de agua. Se alimenta de peces y calamares.|Se distribuye en los Océanos Atlántico, Índico y Pacífico, en aguas tropicales y subtropicales, incluyendo mar Caribe y Mediterráneo.|Capturada|Fresco, congelado y salados.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||Acanthocybium solandri.png|1|||
Torito cornudo|Scrawled Cowfish|Acanthostracion quadricornis|Actinopterygii|Tetraodontiformes|Ostraciidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|55-20|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en aguas poco profundas, principalmente en praderas de pastos marinos. Se alimenta de invertebrados y crustáceos.|Se distribuye en el Atlántico Occidental, desde Massachusetts, Bermudas y el norte del Golfo de México hasta el sureste de Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Acanthostracion quadricornis.png|0|||FMM
Cirujano pardo|Ocean Surgeon|Acanthurus bahianus|Actinopterygii|Perciformes|Acanthuridae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|25-38|No selectiva|Línea de mano o cuerda, red agallera de fondo y palangre escamero (cimbra).||||||Especie marina de hábitos costeros. Habita en fondos poco profundos con formaciones coralinas o rocosas. Se alimenta de algas. |Se distribuye en el océano Atlántico Occidental, desde Massachusetts, EE.UU. y Bermuda hacia el sur hasta el Golfo de México (excepto en el noreste) y Brasil. Atlántico oriental: Ascensión y las islas de St. Helena  en aguas de Angola|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Acanthurus bahianus.png|0|||FMM
Cirujano rayado|Doctorfish|Acanthurus chirurgus|Actinopterygii|Perciformes|Acanthuridae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|35-39|No selectiva|Línea de mano o cuerda, red agallera de fondo y palangre escamero (cimbra).||||||Especie marina de hábitos costeros. Habita en arrecifes poco profundos o zonas rocosas.  Principalmente diurno. Ingiere arena cuando se alimentan de algas. |Se distribuye en  el Atlántico Occidental, desde Massachusetts (EE.UU.), Bermuda y el norte del Golfo de México a Sao Paulo, Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Acanthurus chirurgus.png|0|||FMM
Cirujano azul|Blue tang |Acanthurus coeruleus|Actinopterygii|Perciformes|Acanthuridae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|25-39|No selectiva|Línea de mano o cuerda, red agallera de fondo y palangre escamero (cimbra).||||||Especie marina de hábitos costeros. Habita en arrecifes de coral. Forma grupos pequeños. Principalmente diurno. Se alimenta por completo de algas.|Se distribuye en  el Atlántico Occidental, desde Nueva York, EE.UU. y las Bermudas hasta el Golfo de México y Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Acanthurus coeruleus.png|0|||
Cirujano aleta amarilla|Yellowfin Surgeonfish|Acanthurus xanthopterus|Actinopterygii|Perciformes|Acanthuridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|25-60|No selectiva|Línea de mano o cuerda, red agallera de fondo y palangre escamero (cimbra).||||||Especie marina de hábitos costeros. Vive en arrecifes coralinos y rocosos. Se alimenta de algas microscópicas (diatomeas) y detritus.|Se distribuye en el Indo Pacífico y Pacífico Oriental, desde el este de África, Australia, Japón, Golfo de California, Panamá e Islas Galápagos.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Acanthurus xanthopterus.png|0|||
Esturión del Atlántico|Atlantic Sturgeon|Acipenser oxyrinchus|Actinopterygii|Acipenseriformes|Acipenseridae|1|1|0|0|Esturiones|Nacional|0|1|0|0|0|2|100-300|||Casi amenazada|Apéndice II|Extinto en vida silvestre||Pesqueria cerrada |Especie marina de aguas poco profundas. Vive en estuarios y en la boca de los ríos. Se alimenta de moluscos, crustáceos y peces. |Se distribuye en el Golfo de México y Mar Caribe|Capturada|Prohibido.|||||En deterioro.|En deterioro.|En deterioro.|sin datos|sin datos|sin datos|||Acipenser oxyrinchus.png|1|||
Chucho pintado|Spotted Eagle|Aetobatus narinari|Chondrichthyes|Rajiformes|Myliobatidae|1|0|1|0|Rayas|Nacional|1|0|0|0|0|2|100-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Casi amenazada|||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de crustáceos y moluscos.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Sin datos.||||||Aetobatus narinari.png|1|||
Macabí de hebra|Shafted Bonefish|Albula nemoptera|Actinopterygii|Albuliformes|Albulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|30-50|No selectiva|Red de enmalle o chinchorro lisero.||||||Especie marina de hábitos costeros. Vive en estuarios y en la boca de los ríos. Se alimenta de peces y crustáceos.   |Se distribuye en las costas de Chiapas, Nicaragua, Costa Rica y Panamá en ambas cotas, Pacífico y Atlántico.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Albula nemoptera.png|0|||
Macabí|Bonefish Macabi|Albula vulpes|Actinopterygii|Albuliformes|Albulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-40|No selectiva|Red de enmalle o chinchorro lisero.|Casi amenazada|||||Especie marina de hábitos costeros. Vive en estuarios y en la boca de los ríos. Se alimenta de peces y crustáceos.   |Se distribuye en el océano Pacífico y Atlántico.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Albula vulpes.png|0|||
