Nombre común|Nombre Ingles|Nombre científico|Clase|Orden|Familia|Golfo de México|Mar Caribe|Pacífico|Fuera del país|Grupo|Nacional/Importado|Objetivo|incidental|Deportiva|Fomento|Cultivada|Cartel|Tríptico|Tallas de captura (cm)|Selectiva_NoSelectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades|Distribución|Cultivada / capturada|Comercio|País de importación|Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California|Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec|Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Recomendacion|Peso
Cirujano aleta amarilla|Yellowfin Surgeonfish|Acanthurus xanthopterus|Actinopterygii|Perciformes|Acanthuridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2||25-60|No selectiva|Línea de mano o cuerda, red agallera de fondo y palangre escamero (cimbra).||||||Especie marina de hábitos costeros. Vive en arrecifes coralinos y rocosos. Se alimenta de algas microscópicas (diatomeas) y detritus.|Se distribuye en el Indo Pacífico y Pacífico Oriental, desde el este de África, Australia, Japón, Golfo de California, Panamá e Islas Galápagos.|Capturada|Se utiliza la carne.||sin datos|sin datos|sin datos|||||||||Acanthurus xanthopterus.png|0|0
Cirujano pardo||Acanthurus bahianus|Actinopterygii|Perciformes|Acanthuridae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Cirujano rayado||Acanthurus chirurgus|Actinopterygii|Perciformes|Acanthuridae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Cirujano azul||Acanthurus coeruleus|Actinopterygii|Perciformes|Acanthuridae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Macabí de hebra|Shafted Bonefish|Albula nemoptera|Actinopterygii|Albuliformes|Albulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2||30-50|No selectiva|Red de enmalle o chinchorro lisero.||||||Especie marina de hábitos costeros. Vive en estuarios y en la boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en las costas de Chiapas, Nicaragua, Costa Rica y Panamá en ambas cotas, Pacífico y Atlántico.|Capturada|Se utiliza la carne.||sin datos|sin datos|sin datos|||||||||Albula nemoptera.png|0|0
Macabí|Bonefish Macabi|Albula vulpes|Actinopterygii|Albuliformes|Albulidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2||20-40|No selectiva|Red de enmalle o chinchorro lisero.|Casi amenazada|||||Especie marina de hábitos costeros. Vive en estuarios y en la boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el océano Pacífico y Atlántico.|Capturada|Se utiliza la carne.||sin datos|sin datos|sin datos|||||||||Albula vulpes.png|0|0
Zorro pelágico|Pelagic Thresher|Alopias pelagicus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||160-360|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.|Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y altamente migratorios. Se alimenta principalmente de calamares.|Se distribuye casi en todo el Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Alopias pelagicus.png|1|0
Tiburón zorro ojón|Bigeye Thresher|Alopias superciliosus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||140-460|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.|Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y costeros. Se alimenta de peces y cefalópodos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Alopias superciliosus.png|1|0
Tiburón zorro común|Thresher Shark|Alopias vulpinus|Chondrichthyes|Lamniformes|Alopiidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||160-600|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.|Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos pelágicos y a veces costeros. Se alimenta de peces, cefalópodos, crustáceos y aves.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Alopias vulpinus.png|1|0
Anguila europea|European Eel|Anguilla anguilla|Actinopterygii|Anguilliformes|Anguillidae|0|0|0|1|Anguilas|Importado|0|0|0|0|1|2||30-130|Selectiva|Cultivos de engorda.|En peligro crítico|Apéndice II||||Especie de agua dulce y salada. Se alimenta de invertebrados y pequeños peces.|Se distribuye en ríos que desembocan en el Atlántico Norte, el Mar Báltico y el Mediterráneo. Vive a lo largo de las costas de Europa, desde el Mar Negro hasta el Mar Blanco.|Cultivada|Fresco, congelado.|Estados Unidos, China y Corea de Sur.||||||||||||Anguilla anguilla.png|0|0
